INFO 2026-03-25 20:21:19,453 sales.services Cart created for sale 11 with services: ['66', '124', '115']
INFO 2026-03-25 20:21:27,130 sales.services Set status: PAID for sale Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
INFO 2026-03-25 20:21:27,131 transactions.services Transaction: Transaction object (6) for sale: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True saved.
INFO 2026-03-25 20:22:15,558 sales.services New sale recorded: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
INFO 2026-03-25 20:22:33,283 sales.services Cart created for sale 12 with services: ['68', '91', '113', '117']
INFO 2026-03-25 20:22:45,095 sales.services Set status: PARTIAL for sale Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
INFO 2026-03-25 20:22:45,096 transactions.services Transaction: Transaction object (7) for sale: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True saved.
WARNING 2026-03-25 20:22:59,500 transactions.services Transaction: Transaction object (None) does not cover sale: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
WARNING 2026-03-25 20:23:19,660 transactions.services Transaction: Transaction object (None) does not cover sale: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
INFO 2026-03-25 20:28:05,022 sales.services Set status: PAID for sale Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True
INFO 2026-03-25 20:28:05,024 transactions.services Transaction: Transaction object (8) for sale: Sale on 2026-03-19 at Business Park Sofia | Reg#: 123 | Active: True saved.
